episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,fit_gain,cond_psi,beta_cos,beta_relerr,pred_err,updates,skipped,bounded,diverged,conf,trust_pol,trust_app,corr_frac,explained,corr_dark,resid_after,reward,v_out,cr,q_loss,destroy,steps
21,train,pact,3.0,0,0.4367288618482977,0.09782721237944966,0.12228400632904222,0.06624825847448165,0.004184100543105951,0.016088955434600368,0.792070926919143,0.7816945744608237,0.5493172062989559,1087.1070753281087,0.6911982662009395,2.3521984925329935,0.04545006652388948,5117.0,0.0,1423.0,0.0,0.9911233426137949,0.9000000000000004,0.892010989797664,0.5241304209937241,0.5669139395433759,0.009693600213401677,0.04983705057929149,-0.10399372088306351,0.14504881450488147,0.3514644351464435,0.7816945726273092,0.0,239
22,train,pact,3.0,0,0.38934417804177057,0.08299066494815999,0.10373832358166826,0.061366807840858045,0.0034867504525882926,0.016414875851429717,0.8065500844846709,0.8171002942772589,0.47515783624170216,1086.0264660184853,0.7071747818501923,0.9151634515329385,0.06673863942824522,5355.0,0.0,1423.0,0.0,0.9906869555616977,0.9000000000000004,0.8916182395803379,0.526614680457388,0.5414552197838245,0.0725039674767426,0.06755284651642408,-0.10424664627212282,0.12463547609991127,0.35564853556485354,0.817100295679038,0.0,239
23,train,pact,3.0,0,0.43414843287689137,0.10300946032219517,0.12876181817386223,0.092747561477717,0.005578800724141269,0.017540601727057827,0.8537287558721199,0.8569702306551913,0.5142300272337064,938.883047447045,0.782487562261366,0.7938982772029095,0.06534461874444676,5593.0,0.0,1423.0,0.0,0.9911140767101464,0.9000000000000004,0.8920026478907055,0.6041384981836407,0.6109943922992336,0.07794519966009303,0.06754420610499338,-0.10780265319688885,0.11347787498415113,0.45188284518828453,0.8569702321261775,0.0,239
24,train,pact,3.0,0,0.21976542770897894,0.04925111916611561,0.061563894730273176,0.023709903015252436,0.004881450571275655,0.016586124549218487,0.8103673342755648,0.8229096633495148,0.6846775018520435,1162.8016472341626,0.6315347811666991,5.5903846229968215,0.04175861928369421,5831.0,0.0,1423.0,0.0,0.9912671234817185,0.9000000000000004,0.892140386493635,1.2482868218047871,0.4321968603075129,0.023235612346765064,0.03722331646165448,-0.10874037919859328,0.14378090528718143,0.3305439330543933,0.8229096660613199,0.0,239
25,train,pact,3.0,0,0.2988020511427855,0.06264966304700934,0.07831207257857455,0.03974895491011472,0.0034867504525882926,0.01623740575274367,0.8096082730522715,0.8057102974987429,0.5527528440852544,1189.3228264333814,0.531547439588569,4.862453104686537,0.036596750857288536,6069.0,0.0,1423.0,0.0,0.9910549304475346,0.9000000000000004,0.8919494144587338,0.3950621757624189,0.433051797897662,0.0021336243953555822,0.039111768969012695,-0.10295703742065657,0.13034106757956132,0.3389121338912134,0.8057102981040744,0.0,239
26,train,pact,3.0,0,0.4754479658978925,0.10576720700464268,0.13220900085075318,0.06555090819692014,0.006276150814658927,0.01598284524089996,0.7781530220887651,0.7861258251023592,0.49952697167835475,1084.9187793173053,0.6331424296577364,1.009519378759871,0.06225608008870832,6307.0,0.0,1423.0,0.0,0.9906226947716589,0.9000000000000004,0.8915604056174785,0.6559591301359962,0.5948832390841292,0.08461871503719262,0.06319257425276804,-0.10519602581059473,0.16191200710029163,0.25523012552301255,0.7861258262301029,0.0,239
27,train,pact,3.0,0,0.4738973789959445,0.11075547572706824,0.13844433587234017,0.08647141109949376,0.004184100543105951,0.0175031600724594,0.8440692992140558,0.8516333462304151,0.602579064449007,942.4659730280792,0.6719220310574296,1.3010211499665072,0.06349920551000342,6545.0,0.0,1423.0,0.0,0.9911790562474079,0.9000000000000004,0.8920611404973593,0.6761595120595708,0.6270637568450284,0.09462853085249662,0.06434421937145043,-0.10723977781167658,0.11030810193990112,0.4435146443514644,0.8516333422987775,0.0,239
28,train,pact,3.0,0,0.2864649897415939,0.062345514648585926,0.07793188757800083,0.03695955473508795,0.007670850995694244,0.016300167125127586,0.8165071901541874,0.8182662018422802,0.5119919904106331,1055.88399413041,0.6844987443685846,1.08238404914425,0.06570398077421342,6783.0,0.0,1423.0,0.0,0.9914267761437963,0.9000000000000004,0.8922840793262465,0.42986582327190787,0.4457733452939696,0.06000560325327086,0.06479558637453375,-0.10401751051178612,0.1274248763788513,0.36401673640167365,0.8182662022204203,0.0,239
29,train,pact,3.0,0,0.0010625911311165598,0.000347629087323432,0.00043453634655074835,0.0,0.00488145063362361,0.017446248148174404,0.8319313751853161,0.8463616894877606,0.291507372920982,1098.5319387523698,0.9343204498291016,0.46869686245918274,0.03034921310049049,7021.0,0.0,1423.0,0.0,0.9912566435386945,0.9000000000000004,0.8921309552432104,24.94398653040511,-25.914497610948477,0.020150666236574657,0.026986171583870084,-0.10869447961259462,0.12577659439584127,0.41841004184100417,0.8463616866079612,0.0,239
30,eval,pact,3.0,0,0.49905009486198143,0.0986837837164374,0.12335472427269348,0.004184100543105951,0.0,0.008267375511491367,0.5351942197174208,0.49176127423053007,0.36073458755864257,3450.2752261620685,0.47224361054526465,4.387438293406155,0.040679069402385075,7259.0,0.0,1423.0,0.0,0.9958086594876884,0.9000000000000004,0.8962277717670137,0.7096144604624425,0.5884819237043416,0.0006429112260736039,0.04221225058022184,-0.0631855825429812,0.039178394826930384,0.5983263598326359,0.4917612766189888,0.0,239
